couple_id,id,closeness,satisfaction,story_centrality,story_revisit,sharedreality_1,sharedreality_2,sharedreality_3,sharedreality_4,sharedreality_5,sharedreality_6,sharedreality_7,sharedreality_8,relationship_dur
1001,10011,7,7,6,4,6,6,7,6,5,6,5,7,9
1001,10012,6,7,6,4,7,6,6,7,6,6,6,6,9
1002,10021,6,7,6,6,3,5,2,7,5,5,3,4,12
1002,10022,5,7,5.5,6,5,5,3,3,5,7,5,1,12
1003,10031,6,6,6,6,5,6,6,6,5,5,5,6,119
1003,10032,7,7,7,7,7,7,7,7,6,7,7,6,118
1004,10041,7,7,7,7,7,7,6,7,7,6,6,7,122
1004,10042,7,7,6,7,7,6,7,7,6,6,6,6,102
1005,10052,7,7,6,5,5,6,6,6,5,5,6,6,27
1005,10051,5,7,6,5,5,5,6,6,4,5,4,6,28
1006,10062,7,7,7,5,4,6,7,7,7,4,4,6,28
1006,10061,6,6,7,6,6,6,5,6,5,6,4,5,28
1008,10081,7,7,7,7,6,5,5,6,5,5,3,5,291
1008,10082,7,6,7,7,6,6,7,7,7,6,6,7,293
1009,10092,6,7,6,6,6,6,6,6,6,6,6,6,18
1009,10091,7,7,7,6,7,6,6,6,6,7,6,6,18
1010,10101,7,7,7,6,6,7,7,6,6,5,6,6,13
1010,10102,5,6,7,5,5,5,5,5,4,5,5,5,14
1011,10112,7,7,7,5,5,6,6,7,6,6,6,6,8
1011,10111,6,6,6,7,6,7,6,7,6,5,6,7,8
1012,10122,7,7,7,7,7,7,7,7,7,7,7,6,102
1012,10121,7,7,7,6,5,7,6,7,7,6,6,6,102
1013,10131,6,7,6,5,6,5,6,6,5,5,6,6,24
1013,10132,7,7,7,7,5,7,6,7,6,5,6,5,23
1014,10141,5,5,6,4,5,5,5,6,4,5,4,5,46
1014,10142,5,3,4,5,3,5,5,6,5,5,5,3,46
1015,10151,7,7,7,5,6,6,6,7,7,7,7,6,7
1015,10152,6,6,7,5,5,5,6,7,6,5,6,6,7
1016,10161,7,7,7,5,6,7,7,6,6,6,6,6,41
1016,10162,7,7,6,6,6,7,7,7,5,5,6,5,41
1017,10172,7,7,7,7,7,7,7,7,7,7,7,7,10
1017,10171,7,7,7,7,6,6,6,7,6,6,6,6,11
1018,10181,7,7,7,7,7,7,5,7,6,7,7,7,26
1018,10182,7,7,7,7,6,6,6,7,5,6,6,5,26
1020,10201,7,7,7,6,7,7,7,6,7,7,7,7,108
1020,10202,6,7,7,7,5,6,7,6,5,4,6,7,107
1021,10211,5,5,6,5,5,5,3,7,5,5,5,5,33
1021,10212,6,6,5,7,5,5,5,6,5,5,6,4,33
1022,10222,6,7,6,5,5,3,4,6,5,3,3,4,27
1022,10221,6,6,5,5,5,6,6,7,5,5,5,5,26
1023,10232,7,7,6,4,5,6,6,7,7,5,6,6,26
1023,10231,5,6,7,6,7,6,7,7,6,4,6,6,27
1024,10242,6,6,6,5,5,5,5,5,3,4,4,6,20
1024,10241,6,6,5,5,2,6,5,7,5,5,5,5,19
1025,10251,5,6,6,6,3,5,4,5,5,5,5,5,30
1025,10252,7,6,5,3,6,6,6,7,6,5,6,7,42
1028,10282,7,7,6,5,4,6,6,7,6,5,5,6,26
1028,10281,7,7,7,7,6,6,6,7,5,5,6,5,26
1029,10291,5,6,3,3,3,5,2,5,5,5,6,3,35
1029,10292,7,7,7,6,6,7,7,7,6,5,6,7,36
1030,10301,7,7,7,5,7,7,7,7,7,7,7,7,24
1030,10302,7,7,5,3,5,7,7,5,6,6,6,6,24
1031,10311,7,7,7,7,7,7,7,7,7,6,5,7,6
1031,10312,7,7,7,7,7,7,7,7,7,7,7,7,6
1032,10322,2,7,6,2,4,5,7,2,5,5,5,6,85
1032,10321,6,7,3,3,2,4,5,7,5,3,2,3,85
1033,10331,6,6,5,7,5,6,6,7,4,6,7,7,16
1033,10332,6,6,4,6,4,6,5,6,6,5,5,6,17
1034,10342,7,7,5,2,3,6,5,5,5,2,6,5,8
1034,10341,6,7,7,2,5,5,5,7,4,6,6,5,7
1035,10352,6,7,7,7,6,4,5,6,6,6,7,5,67
1035,10351,7,7,7,6,5,6,7,7,7,6,7,7,67
1039,10391,7,7,7,6,5,5,6,7,6,4,5,6,18
1039,10392,6,7,5,5,5,6,5,6,4,5,6,2,18
1041,10411,5,6,5,5,4,6,6,5,6,5,6,6,27
1041,10412,6,7,5,5,6,6,6,6,6,6,6,7,26
1042,10421,6,7,7,7,7,7,7,7,7,7,7,6,12
1042,10422,6,7,7,7,6,5,5,6,5,4,6,6,24
1043,10431,6,7,6,5,6,6,5,6,5,5,5,6,52
1043,10432,6,7,6,6,5,6,6,5,5,6,6,6,53
1044,10441,6,7,6,5,6,6,6,6,5,7,6,5,24
1044,10442,7,6,6,3,6,6,7,7,5,5,6,5,23
1046,10462,7,7,7,5,5,6,6,7,7,6,6,5,16
1046,10461,7,7,7,7,4,5,6,6,5,6,6,6,16
1048,10481,5,6,7,7,6,6,6,6,6,6,6,5,7
1048,10482,4,4,6,6,5,5,3,6,4,5,5,4,7
1049,10491,7,7,6,6,6,7,6,7,6,6,6,6,23
1049,10492,7,7,7,5,6,6,6,6,6,5,6,6,23
1050,10502,7,7,7,7,7,7,6,7,6,6,7,7,16
1050,10501,5,6,7,7,5,7,7,5,6,6,5,6,15
1051,10511,7,6,7,5,5,5,3,7,5,5,7,6,116
1051,10512,7,7,7,5,5,6,6,7,6,6,6,6,116
